time,IN_A,IN_B,OUT_1,OUT_2
4.4799999999999994e-09,0,0,0,0
4.49e-09,0,0,0,0
4.5e-09,0,0,0,0
4.5099999999999995e-09,0,0,0,0
4.52e-09,0,0,0,0
4.53e-09,0,0,0,0
4.54e-09,0,0,0,0
4.549999999999999e-09,0,0,0,0
4.56e-09,0,0,0,0
4.57e-09,0,0,0,0
4.5799999999999995e-09,0,0,0,0
4.59e-09,0,0,0,0
4.6e-09,0,0,0,0
4.61e-09,0,0,0,0
4.619999999999999e-09,0,0,0,0
4.63e-09,0,0,0,0
4.64e-09,0,0,0,0
4.6499999999999995e-09,0,0,0,0
4.66e-09,0,0,0,0
4.67e-09,0,0,0,0
4.6799999999999996e-09,0,0,0,0
4.689999999999999e-09,0,0,0,0
4.7e-09,0,0,0,0
4.71e-09,0,0,0,0
4.7199999999999994e-09,0,0,0,0
4.73e-09,0,0,0,0
4.74e-09,0,0,0,0
4.7499999999999995e-09,0,0,0,0
4.76e-09,0,0,0,0
4.77e-09,0,0,0,0
4.78e-09,0,0,0,0
4.789999999999999e-09,0,0,0,0
4.8e-09,0,0,0,0
4.81e-09,0,0,0,0
4.8199999999999995e-09,0,0,0,0
4.83e-09,0,0,0,0
4.84e-09,0,0,0,0
4.85e-09,0,0,0,0
4.859999999999999e-09,0,0,0,0
4.87e-09,0,0,0,0
4.88e-09,0,0,0,0
4.8899999999999995e-09,0,0,0,0
4.9e-09,0,0,0,0
4.91e-09,0,0,0,0
4.9199999999999996e-09,0,0,0,0
4.929999999999999e-09,0,0,0,0
4.94e-09,0,0,0,0
4.95e-09,0,0,0,0
4.9599999999999994e-09,0,0,0,0
4.97e-09,0,0,0,0
4.98e-09,0,0,0,0
4.9899999999999995e-09,0,0,0,0
5e-09,0,0,0,0
5.01e-09,0,0,0,0
5.02e-09,0,0,0,0
5.029999999999999e-09,0,0,0,0
5.04e-09,0,0,0,0
5.05e-09,0,0,0,0
5.0599999999999995e-09,0,0,0,0
5.07e-09,0,0,0,0
5.08e-09,0,0,0,0
5.09e-09,0,0,0,0
5.099999999999999e-09,0,0,0,0
5.11e-09,0,0,0,0
5.12e-09,0,0,0,0
5.1299999999999994e-09,0,0,0,0
5.14e-09,0,0,0,0
5.15e-09,0,0,0,0
5.1599999999999996e-09,0,0,0,0
5.169999999999999e-09,0,0,0,0
5.18e-09,0,0,0,0
5.19e-09,0,0,0,0
5.1999999999999994e-09,0,0,0,0
5.21e-09,0,0,0,0
5.22e-09,0,0,0,0
5.2299999999999995e-09,0,0,0,0
5.239999999999999e-09,0,0,0,0
5.25e-09,0,0,0,0
5.26e-09,0,0,0,0
5.269999999999999e-09,0,0,0,0
5.28e-09,0,0,0,0
5.29e-09,0,0,0,0
5.2999999999999995e-09,0,0,0,0
5.31e-09,0,0,0,0
5.32e-09,0,0,0,0
5.3299999999999996e-09,0,0,0,0
5.339999999999999e-09,0,0,0,0
5.35e-09,0,0,0,0
5.36e-09,0,0,0,0
5.3699999999999994e-09,0,0,0,0
5.38e-09,0,0,0,0
5.39e-09,0,0,0,0
5.3999999999999996e-09,0,0,0,0
5.409999999999999e-09,0,0,0,0
5.42e-09,0,0,0,0
5.43e-09,0,0,0,0
5.439999999999999e-09,0,0,0,0
5.45e-09,0,0,0,0
5.46e-09,0,0,0,0
5.4699999999999995e-09,0,0,0,0
5.479999999999999e-09,0,0,0,0
5.49e-09,0,0,0,0
5.5e-09,0,0,0,0
5.509999999999999e-09,0,0,0,0
5.52e-09,0,0,0,0
5.53e-09,0,0,0,0
5.5399999999999995e-09,0,0,0,0
5.55e-09,0,0,0,0
5.56e-09,0,0,0,0
5.5699999999999996e-09,0,0,0,0
5.579999999999999e-09,0,0,0,0
5.59e-09,0,0,0,0
5.6e-09,0,0,0,0
5.6099999999999994e-09,0,0,0,0
5.62e-09,0,0,0,0
5.63e-09,0,0,0,0
5.6399999999999995e-09,0,0,0,0
5.649999999999999e-09,0,0,0,0
5.66e-09,0,0,0,0
5.67e-09,0,0,0,0
5.679999999999999e-09,0,0,0,0
5.69e-09,0,0,0,0
5.7e-09,0,0,0,0
5.7099999999999995e-09,0,0,0,0
5.719999999999999e-09,0,0,0,0
5.73e-09,0,0,0,0
5.74e-09,0,0,0,0
5.749999999999999e-09,0,0,0,0
5.76e-09,0,0,0,0
5.77e-09,0,0,0,0
5.7799999999999995e-09,0,0,0,0
5.789999999999999e-09,0,0,0,0
5.8e-09,0,0,0,0
5.8099999999999996e-09,0,0,0,0
5.819999999999999e-09,0,0,0,0
5.83e-09,0,0,0,0
5.84e-09,0,0,0,0
5.8499999999999994e-09,0,0,0,0
5.86e-09,0,0,0,0
5.87e-09,0,0,0,0
5.8799999999999995e-09,0,0,0,0
5.889999999999999e-09,0,0,0,0
5.9e-09,0,0,0,0
5.91e-09,0,0,0,0
5.919999999999999e-09,0,0,0,0
5.93e-09,0,0,0,0
5.94e-09,0,0,0,0
5.9499999999999995e-09,0,0,0,0
5.959999999999999e-09,0,0,0,0
5.97e-09,0,0,0,0
5.98e-09,0,0,0,0
5.989999999999999e-09,0,0,0,0
6e-09,0,0,0,0
6.01e-09,0,0,0,0
6.0199999999999995e-09,0,0,0,0
6.029999999999999e-09,0,0,0,0
6.04e-09,0,0,0,0
6.0499999999999996e-09,0,0,0,0
6.059999999999999e-09,0,0,0,0
6.07e-09,0,0,0,0
6.08e-09,0,0,0,0
6.0899999999999994e-09,0,0,0,0
6.1e-09,0,0,0,0
6.11e-09,0,0,0,0
6.1199999999999995e-09,0,0,0,0
6.129999999999999e-09,0,0,0,0
6.14e-09,0,0,0,0
6.15e-09,0,0,0,0
6.159999999999999e-09,0,0,0,0
6.17e-09,0,0,0,0
6.18e-09,0,0,0,0
6.1899999999999995e-09,0,0,0,0
6.199999999999999e-09,0,0,0,0
6.21e-09,0,0,0,0
6.22e-09,0,0,0,0
6.229999999999999e-09,0,0,0,0
6.24e-09,0,0,0,0
6.25e-09,0,0,0,0
6.2599999999999995e-09,0,0,0,0
6.269999999999999e-09,0,0,0,0
6.28e-09,0,0,0,0
6.2899999999999996e-09,0,0,0,0
6.299999999999999e-09,0,0,0,0
6.31e-09,0,0,0,0
6.32e-09,0,0,0,0
6.3299999999999994e-09,0,0,0,0
6.34e-09,0,0,0,0
6.35e-09,0,0,0,0
6.3599999999999995e-09,0,0,0,0
6.369999999999999e-09,0,0,0,0
6.38e-09,0,0,0,0
6.39e-09,0,0,0,0
6.399999999999999e-09,0,0,0,0
6.41e-09,0,0,0,0
6.42e-09,0,0,0,0
6.4299999999999995e-09,0,0,0,0
6.439999999999999e-09,0,0,0,0
6.45e-09,0,0,0,0
6.46e-09,0,0,0,0
6.469999999999999e-09,0,0,0,0
6.48e-09,0,0,0,0
6.49e-09,0,0,0,0
6.4999999999999995e-09,0,0,0,0
6.509999999999999e-09,0,0,0,0
6.52e-09,0,0,0,0
6.5299999999999996e-09,0,0,0,0
6.539999999999999e-09,0,0,0,0
6.55e-09,0,0,0,0
6.56e-09,0,0,0,0
6.5699999999999994e-09,0,0,0,0
6.579999999999999e-09,0,0,0,0
6.59e-09,0,0,0,0
6.5999999999999995e-09,0,0,0,0
6.609999999999999e-09,0,0,0,0
6.62e-09,0,0,0,0
6.63e-09,0,0,0,0
6.639999999999999e-09,0,0,0,0
6.65e-09,0,0,0,0
6.66e-09,0,0,0,0
6.6699999999999995e-09,0,0,0,0
6.679999999999999e-09,0,0,0,0
6.69e-09,0,0,0,0
6.7e-09,0,0,0,0
6.709999999999999e-09,0,0,0,0
6.72e-09,0,0,0,0
6.73e-09,0,0,0,0
6.7399999999999995e-09,0,0,0,0
6.749999999999999e-09,0,0,0,0
6.76e-09,0,0,0,0
6.7699999999999996e-09,0,0,0,0
6.779999999999999e-09,0,0,0,0
6.79e-09,0,0,0,0
6.8e-09,0,0,0,0
6.8099999999999994e-09,0,0,0,0
6.819999999999999e-09,0,0,0,0
6.83e-09,0,0,0,0
6.8399999999999995e-09,0,0,0,0
6.849999999999999e-09,0,0,0,0
6.86e-09,0,0,0,0
6.87e-09,0,0,0,0
6.879999999999999e-09,0,0,0,0
6.89e-09,0,0,0,0
